customer_id,natural_key,first_name,last_name,email,phone,address_line1,address_line2,city,state_region,postcode,country_code,latitude,longitude,birth_date,join_ts,is_vip,gdpr_consent
1,CUST-XAJI0Y6D,Anthony,Miller,hectorsnyder@example.com,07.7531.5896,95 Small Parklands,,North Natashaborough,NT,6086,AU,-43.702028,120.745519,2000-05-03,2024-11-04T00:57:58,false,true
2,CUST-K51FPKH1,Steve,Castro,andrew92@example.com,(02) 0465 3028,6/53 Gonzalez Cul-de-sac,,Sarahhaven,SA,2855,AU,-40.200727,126.359175,1985-11-09,2024-11-05T09:37:51,false,false
3,CUST-T3W5UZBI,Rachel,Hood,philip67@example.org,+61-8-8140-8786,73 Benjamin Concourse,,West Nathan,TAS,8371,AU,-43.202080,121.311635,1964-01-23,2024-07-13T10:07:14,false,true
4,CUST-ZYCWTIQJ,Christopher,Roberson,allenryan@example.org,0403-833-451,063/8 Ashley Fire Track,,Amychester,QLD,2938,AU,-37.118380,120.784607,1984-02-04,2024-01-29T08:20:21,false,true
5,CUST-UZHR5XFF,Mary,Marshall,thomas83@example.org,+61 2 1763 6517,9/91 Maxwell Sound,,New Lisa,SA,1688,AU,-38.610227,141.880552,1993-06-08,2024-10-25T14:32:30,false,true
6,CUST-4FFYVNVQ,Matthew,Williamson,samanthabrown@example.net,0461 207 468,1 Steven Crest,,Lake Paul,ACT,2174,AU,-38.467741,149.697234,1965-04-11,2024-12-15T19:33:01,false,true
7,CUST-XAJI0Y6D,Kenneth,Prince,hross@example.com,(03) 3500 5589,3/475 Grant Place,,New Tiffanyville,NSW,2939,AU,-35.241471,122.535562,1999-11-29,2024-04-01T18:29:02,false,true
8,CUST-VF1T2TAL,Kimberly,Hunt,lori78@example.net,03-6864-7510,15 Coleman Lane,,Hernandezmouth,NSW,2920,AU,-34.709014,147.148875,1982-08-03,2024-05-02T02:06:32,true,true
9,CUST-39TEX8FS,Lauren,Dodson,carrie02@example.net,4537-8507,25 Kimberly Mew,,Lauramouth,SA,2662,AU,-34.356371,149.156540,1973-01-17,2024-12-31T11:20:57,false,false
10,CUST-QICATVAZ,Matthew,Ware,vtaylor@example.org,+61 481 986 453,Unit 14 777 Karen Close,,Currystad,NT,2746,AU,-43.325997,113.256518,1984-08-23,2024-02-06T18:43:11,false,true
11,CUST-7UR23GDP,Joel,Edwards,craigmorgan@example.org,+61 483 859 819,Suite 254 515 Melissa Elbow,,Reevesville,ACT,0245,AU,-39.329753,141.163034,1963-10-30,2024-02-01T14:39:32,false,true
12,CUST-TFGQ5C34,Cynthia,Conner,xharrington@example.org,1344.2808,399 Taylor Expressway,,Brianfurt,NT,6020,AU,-37.478551,133.623518,1956-04-28,2024-02-17T08:36:22,false,true
13,CUST-CN9J2QP8,Evelyn,Gomez,howellkevin@example.com,+61.7.0868.9623,1 Harvey Walkway,99/,Henryhaven,VIC,2696,AU,-38.442317,140.736331,1968-11-20,2024-04-07T10:48:10,false,true
14,CUST-LBR7TCS4,Scott,Hendricks,joseph49@example.org,0434.566.150,Unit 48 62 Torres Reach,,St. Shannonburgh,TAS,9146,AU,-43.320391,146.472768,1991-03-23,2024-03-02T20:44:28,false,true
15,CUST-VS7HZIOY,Drew,Wright,brett51@example.net,0424 624 699,484/1 Daniel Spur,,South Robertchester,QLD,3283,AU,-40.838228,142.074580,1961-07-05,2024-01-05T16:41:08,true,true
16,CUST-SEMCIKPT,Justin,Cameron,danielwalker@example.net,08 3502 5833,06/73 Sosa Lookout,,South Brian,SA,2639,AU,-34.161467,144.283998,2002-06-15,2024-01-05T20:11:32,false,true
17,CUST-EDTJVZHW,Sharon,Davis,christopherfrost@example.net,6206 0725,Unit 08 25 Pham Esplanade,Level 9 ,North Jessica,VIC,2872,AU,-39.114681,148.213460,1959-07-23,2024-02-17T23:05:36,true,true
18,CUST-WJ0TPAC5,Kimberly,James,robertdecker@example.net,+61-8-6996-4010,Apt. 554 1 Jimmy Distributor,,St. Rodney,NT,2891,AU,-38.544097,145.383801,2004-07-27,2024-03-16T15:38:53,false,true
19,CUST-46HID25O,Monique,Mercado,jason20@example.net,,55 Troy Pass,,St. Anthony,NT,6928,AU,-42.454467,149.195241,1969-07-30,2024-03-31T15:00:40,false,false
20,CUST-253J2D54,Raymond,Henderson,rickey67@example.com,,5 Thomas Arcade,0/,East Kevinfort,VIC,2353,AU,-35.834134,130.412129,1982-05-19,2024-04-26T08:06:59,false,false
21,CUST-8KXO9T7E,Kimberly,Miller,owensgail@example.org,(02)03834832,5 Bryan Ridge,,South Brianberg,SA,2967,AU,-42.214322,150.501373,1978-10-25,2024-01-20T03:56:48,false,true
22,CUST-9E6GBPS3,Donald,Lucas,lindamiles@example.net,+61 3 4983 7585,Level 9 397 Cruz Extension,,South Jason,QLD,2611,AU,-34.597369,141.481508,1972-09-04,2024-07-05T15:42:11,false,true
23,CUST-4ZKLOOKE,Thomas,Lewis,taylorjohn@example.org,(03)79049172,96/3 Linda Centreway,,Dawnview,WA,2923,AU,-34.596363,139.092718,1970-08-12,2024-11-11T20:43:13,true,true
24,CUST-PUXQPHR6,Debra,Bowman,avazquez@example.net,3993-5611,Suite 181 5 Clark Port,Apt. 897 ,Port Richardburgh,ACT,2978,AU,-42.303086,115.391821,2001-03-30,2024-12-05T23:02:40,false,true
25,CUST-L3FB9W1Q,Christopher,Gonzales,fieldsshannon@example.com,+61 3 2515 9181,566 Sullivan Ground,,Beasleyshire,ACT,2731,AU,-38.243291,140.733837,1989-06-13,2024-09-10T14:33:03,true,true
26,CUST-1DPG8SBI,Nicolas,Glover,lisa67@example.org,0463-834-910,218 Susan Arcade,,Lake Thomas,NSW,2052,AU,-39.435382,144.056664,2002-08-26,2024-10-13T21:40:47,false,true
27,CUST-6P6QF5Q1,Jessica,Stevenson,julieadkins@example.com,51437202,Unit 09 41 Sanchez Pathway,Flat 88 ,Stephanieshire,ACT,2959,AU,-41.226886,143.106993,1998-06-23,2024-11-16T08:42:38,false,true
28,CUST-LTEIYZCO,Joyce,Rodriguez,george92@example.net,+61882934324,374 Shannon Ramble,Apt. 107 ,Lake Paige,WA,2910,AU,-39.842258,120.273376,1992-09-10,2024-07-18T21:15:56,false,true
29,CUST-R7KO64T0,Erik,Miller,nhernandez@example.net,,Unit 21 67 Timothy Meander,,North Charles,WA,2616,AU,-35.021887,131.529179,1979-06-27,2024-08-11T17:40:54,false,true
30,CUST-FQEWAOUA,Adam,Pena,garciachristina@example.org,(03) 0339 3498,1/063 Kathryn Bypass,,South Christina,NT,1812,AU,-42.643005,130.467938,1959-07-06,2024-05-13T13:48:09,false,false
31,CUST-K8P4Q0B8,Alexa,Day,john08@example.net,0225708739,23/4 Donna Gap,Apt. 081 ,New George,NT,0216,AU,-43.313816,150.291424,1958-08-12,2024-01-16T09:00:11,false,true
32,CUST-YUHZ1GV0,Johnny,Cordova,michael23@example.org,+61-2-8037-9321,86/12 Garcia Loop,,Lake Mary,ACT,2905,AU,-35.806988,150.588831,1964-09-12,2024-10-23T00:56:05,false,true
33,CUST-7HV3IZKY,Jacob,Nelson,enash@example.com,0422-870-967,674 Leon Rotary,,West Garyview,QLD,2491,AU,-36.037728,134.637302,1958-09-07,2024-06-26T19:23:47,false,true
34,CUST-43D8W3ZP,Katie,Young,millerrobert@example.org,(08) 3477 8243,008/339 Dougherty Crescent,,Matthewchester,TAS,0246,AU,-34.345263,122.803296,2003-04-13,2024-09-04T16:55:31,false,false
35,CUST-3D5IQVNB,Leslie,Castillo,fryethomas@example.org,(02) 8214 4444,169 Michael Row,,Piercebury,TAS,0940,AU,-42.181601,120.484794,1978-03-06,2024-06-23T10:10:55,false,true
36,CUST-8DZR1YXR,Anthony,Robles,robertsshannon@example.net,02.2559.5903,5 Roberts Amble,,Ashleybury,VIC,0889,AU,-43.069466,120.863856,1976-10-29,2024-06-05T21:10:25,false,false
37,CUST-TMQLIZL0,Abigail,Reyes,phillipsaustin@example.org,(03)74139561,962 Wood Upper,,New Michael,TAS,2444,AU,-37.098364,119.661639,1998-06-10,2024-05-21T21:27:58,false,true
38,CUST-GIGATJ9T,Catherine,Lewis,whitedebra@example.net,4058-5384,Flat 34 0 Donald Cross,,East Melissamouth,QLD,2920,AU,-42.737205,146.738448,1999-01-15,2024-02-22T00:26:47,false,true
39,CUST-B7R3OCWB,Gregory,Martin,juarezcynthia@example.org,+61 7 0591 2797,Level 0 304 Alvarado Quay,,West Sarah,QLD,2480,AU,-38.371604,124.153420,1977-04-07,2024-03-01T20:19:07,false,true
40,CUST-SQP49KWV,William,Allen,jgonzalez@example.org,+61.408.583.874,4 Logan Steps,Level 8 ,Thomaston,NT,2647,AU,-34.524098,120.311516,1973-12-06,2024-05-15T02:57:21,true,true
41,CUST-QVKIZZQY,David,Cabrera,wilsonlaura@example.com,8649 2033,Unit 82 49 Anthony Cove,,South Craigton,QLD,2664,AU,-36.121720,137.002320,1972-09-30,2024-08-05T04:10:43,false,true
42,CUST-CFL0UKEY,Patricia,Miller,msanders@example.com,0442 972 356,86 Stephen Circus,,East Danielle,SA,2698,AU,-34.573238,132.018887,1999-04-20,2024-08-12T02:55:43,false,true
43,CUST-AIY4VA13,Denise,Johnson,trussell@example.net,08 4245 9089,634 Kline Rue,Suite 352 ,West Monicafort,TAS,2942,AU,-36.368910,119.007629,2001-07-23,2024-11-29T16:06:03,false,true
44,CUST-RDMLY4LY,Anna,Burke,logancatherine@example.net,0415-391-965,Unit 93 6 Molly Viaduct,Level 1 ,Jillport,QLD,0990,AU,-34.548065,144.542641,2004-05-08,2024-01-19T16:33:34,false,true
